groupname,overallocation,conflicts,under,unwilling,unpreffered
samadje,25,3,1,29,19
samadje,25,4,2,25,18
samadje,35,3,0,26,12
samadje,9,2,6,0,25
samadje,8,5,2,0,35
samadje,29,6,1,24,13
samadje,20,2,3,11,24
samadje,18,6,0,12,20
samadje,5,8,7,0,23
samadje,25,3,0,22,26
samadje,21,3,6,4,18
samadje,21,2,3,8,28
samadje,14,2,10,14,14
samadje,22,2,2,7,31
samadje,33,2,0,12,31
samadje,32,6,0,24,14
samadje,33,2,0,23,22
samadje,31,5,0,41,13
samadje,30,5,0,18,19
samadje,22,3,5,8,15
samadje,29,3,1,24,16
samadje,9,5,4,0,26
samadje,33,2,0,19,26
samadje,23,6,0,7,30
samadje,33,2,0,11,32
samadje,22,5,3,7,22
samadje,35,3,0,23,14
samadje,19,3,7,11,13
